id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
162,10732,2835,1190,90,130,2859.375,1299.625,0.9070379734039307,0.9669299721717834,0,0,3000,2248
163,1983,2112,1745,34,61,2109.375,1791.375,0.9066419005393982,0.9676777720451355,0,0,3000,2248
164,43817,1648,0,116,496,1734.375,175.625,0.9062852263450623,0.9558957815170288,0,0,3000,2248
165,10909,2868,1320,96,127,2953.125,1440.125,0.9052841663360596,0.9533321261405945,0,0,3000,2248
166,6261,1999,1067,36,192,2015.625,1088.875,0.901461124420166,0.9575035572052002,0,0,3000,2248
167,3655,2002,939,31,129,2015.625,948.375,0.9008959531784058,0.9635095000267029,0,0,3000,2248
168,7864,2749,2144,94,103,2765.625,2212.875,0.8999829292297363,0.9696931838989258,0,0,3000,2248
169,8713,2664,935,74,130,2671.875,1018.625,0.8992598056793213,0.95598965883255,0,0,3000,2248
170,2231,2543,2013,43,123,2578.125,2072.375,0.8989646434783936,0.9508987069129944,0,0,3000,2248
171,4304,2933,1797,44,112,2953.125,1861.625,0.8984731435775757,0.9736177921295166,0,0,3000,2248
172,10420,2739,1315,89,131,2765.625,1369.875,0.8982263803482056,0.9644569754600525,0,0,3000,2248
173,703,2003,940,26,28,2015.625,948.375,0.8974699974060059,0.9760563373565674,0,0,3000,2248
174,3792,2355,2039,38,122,2390.625,2072.375,0.8970411419868469,0.957003116607666,0,0,3000,2248
175,7913,2569,1802,64,141,2578.125,1861.625,0.8970000743865967,0.9638643860816956,0,0,3000,2248
176,5800,2709,1811,55,135,2765.625,1861.625,0.8957105278968811,0.9560384154319763,0,0,3000,2248
177,3196,2207,1327,55,63,2203.125,1369.875,0.8956736922264099,0.9582949876785278,0,0,3000,2248
178,652,1455,1864,25,34,1453.125,1861.625,0.8947006464004517,0.9684210419654846,0,0,3000,2248
179,14585,2724,0,85,276,2765.625,175.625,0.8921922445297241,0.9563611745834351,0,0,3000,2248
180,15427,2346,673,66,261,2390.625,807.875,0.8921306133270264,0.9538187980651855,0,0,3000,2248
181,2629,2189,128,40,71,2203.125,175.625,0.8907414674758911,0.9656460285186768,0,0,3000,2248
182,8460,2659,533,68,136,2671.875,597.125,0.890076756477356,0.9642402529716492,0,0,3000,2248
183,5396,2578,2145,64,102,2578.125,2212.875,0.8895933628082275,0.9538962244987488,0,0,3000,2248
184,4545,2834,1190,42,123,2859.375,1299.625,0.8880730271339417,0.9645635485649109,0,0,3000,2248
185,2332,2657,546,21,121,2671.875,597.125,0.8835614919662476,0.9658083319664001,0,0,3000,2248
